MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition
20.0,5.0,80.0,10400.0,1.0,3.0,3.0,0.0,4.0,0.0,17.0,2.0,2.0,0.0,2.0,7.0,5.0,1976.0,1976.0,1.0,1.0,6.0,6.0,189.0,3.0,4.0,1.0,2.0,4.0,3.0,5.0,0.0,5.0,0.0,1090.0,1090.0,1.0,4.0,1.0,4.0,1370.0,0.0,0.0,1370.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,6.0,7.0,1.0,1.0,1976.0,1.0,2.0,479.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,9.0,3.0
60.0,5.0,68.0,28698.0,1.0,1.0,2.0,0.0,1.0,2.0,4.0,2.0,2.0,0.0,5.0,5.0,5.0,1967.0,1967.0,0.0,5.0,9.0,10.0,0.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,249.0,0.0,764.0,0.0,1013.0,1.0,4.0,1.0,4.0,1160.0,966.0,0.0,2126.0,0.0,1.0,2.0,1.0,3.0,1.0,4.0,7.0,3.0,0.0,1.0,1967.0,0.0,2.0,538.0,4.0,4.0,2.0,486.0,0.0,0.0,0.0,225.0,0.0,0.0,6.0,2009.0,9.0,0.0
90.0,5.0,70.0,9842.0,1.0,3.0,3.0,0.0,2.0,0.0,15.0,2.0,2.0,2.0,2.0,4.0,5.0,1962.0,1962.0,1.0,1.0,6.0,6.0,0.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1224.0,0.0,0.0,1224.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,6.0,7.0,0.0,4.0,1962.0,2.0,2.0,462.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2007.0,9.0,4.0
90.0,5.0,60.0,7200.0,1.0,3.0,3.0,0.0,4.0,0.0,15.0,2.0,2.0,2.0,2.0,4.0,5.0,1949.0,1950.0,1.0,1.0,3.0,12.0,0.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1040.0,0.0,0.0,1040.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,6.0,7.0,0.0,5.0,1956.0,2.0,2.0,420.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,9.0,4.0
190.0,6.0,63.0,7627.0,1.0,3.0,3.0,0.0,0.0,0.0,20.0,0.0,2.0,1.0,5.0,4.0,6.0,1920.0,1950.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0,3.0,5.0,0.0,5.0,0.0,600.0,600.0,1.0,2.0,0.0,4.0,1101.0,600.0,0.0,1701.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,8.0,7.0,0.0,1.0,1979.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,10.0,2009.0,9.0,4.0
60.0,5.0,97.0,10029.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,5.0,6.0,5.0,1988.0,1989.0,1.0,1.0,9.0,10.0,268.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,831.0,5.0,0.0,320.0,1151.0,1.0,4.0,1.0,4.0,1164.0,896.0,0.0,2060.0,0.0,1.0,2.0,1.0,4.0,1.0,4.0,8.0,7.0,1.0,1.0,1988.0,2.0,2.0,521.0,4.0,4.0,2.0,0.0,228.0,0.0,0.0,192.0,0.0,0.0,9.0,2007.0,9.0,4.0
60.0,5.0,84.0,9660.0,1.0,0.0,3.0,0.0,4.0,0.0,18.0,2.0,2.0,0.0,5.0,8.0,5.0,1998.0,1998.0,1.0,1.0,13.0,14.0,242.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,791.0,5.0,0.0,253.0,1044.0,1.0,0.0,1.0,4.0,1079.0,897.0,0.0,1976.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,7.0,7.0,1.0,1.0,1998.0,0.0,3.0,885.0,4.0,4.0,2.0,210.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,2006.0,9.0,4.0
20.0,5.0,75.0,11310.0,1.0,3.0,3.0,0.0,4.0,0.0,15.0,2.0,2.0,0.0,2.0,6.0,5.0,1954.0,1954.0,3.0,1.0,14.0,3.0,0.0,3.0,4.0,1.0,4.0,4.0,3.0,5.0,0.0,5.0,0.0,1367.0,1367.0,1.0,0.0,1.0,4.0,1375.0,0.0,0.0,1375.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,5.0,7.0,1.0,1.0,1954.0,2.0,2.0,451.0,4.0,4.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,2006.0,9.0,4.0
60.0,5.0,68.0,18450.0,1.0,0.0,3.0,0.0,4.0,0.0,15.0,2.0,2.0,0.0,5.0,6.0,5.0,1965.0,1979.0,0.0,5.0,9.0,10.0,113.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,187.0,4.0,723.0,111.0,1021.0,1.0,4.0,1.0,4.0,1465.0,915.0,0.0,2380.0,0.0,0.0,2.0,1.0,3.0,1.0,4.0,7.0,6.0,1.0,4.0,1965.0,2.0,2.0,596.0,4.0,4.0,2.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,9.0,0.0
20.0,5.0,85.0,10200.0,1.0,3.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,2.0,8.0,5.0,2007.0,2007.0,1.0,1.0,13.0,14.0,180.0,2.0,4.0,2.0,2.0,4.0,0.0,2.0,1478.0,5.0,0.0,100.0,1578.0,1.0,0.0,1.0,4.0,1602.0,0.0,0.0,1602.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,7.0,7.0,1.0,1.0,2007.0,1.0,3.0,810.0,4.0,4.0,2.0,0.0,48.0,0.0,0.0,195.0,0.0,0.0,1.0,2009.0,9.0,4.0
20.0,5.0,63.0,10712.0,1.0,3.0,3.0,0.0,4.0,0.0,14.0,2.0,2.0,0.0,2.0,5.0,5.0,1991.0,1992.0,1.0,1.0,6.0,6.0,0.0,3.0,4.0,2.0,2.0,4.0,2.0,1.0,212.0,5.0,0.0,762.0,974.0,1.0,4.0,1.0,4.0,974.0,0.0,0.0,974.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,5.0,7.0,0.0,1.0,1979.0,2.0,0.0,0.0,4.0,4.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,9.0,2007.0,7.0,0.0
20.0,5.0,70.0,18044.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,2.0,0.0,2.0,8.0,5.0,1986.0,1986.0,1.0,1.0,15.0,10.0,0.0,2.0,4.0,1.0,2.0,4.0,3.0,5.0,0.0,5.0,0.0,279.0,279.0,1.0,2.0,1.0,4.0,2726.0,0.0,0.0,2726.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,6.0,7.0,1.0,1.0,1986.0,0.0,2.0,691.0,2.0,2.0,2.0,216.0,64.0,169.0,0.0,0.0,228.0,0.0,8.0,2007.0,9.0,4.0
80.0,5.0,87.0,11084.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,7.0,7.0,5.0,2004.0,2004.0,1.0,1.0,13.0,14.0,0.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,192.0,5.0,0.0,192.0,384.0,1.0,0.0,1.0,4.0,744.0,630.0,0.0,1374.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,8.0,7.0,1.0,3.0,2004.0,0.0,2.0,400.0,4.0,4.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,9.0,3.0
20.0,5.0,61.0,7328.0,1.0,3.0,3.0,0.0,4.0,0.0,23.0,2.0,2.0,0.0,2.0,7.0,5.0,2008.0,2009.0,1.0,1.0,13.0,14.0,140.0,2.0,4.0,2.0,2.0,4.0,3.0,5.0,0.0,5.0,0.0,1450.0,1450.0,1.0,0.0,1.0,4.0,1450.0,0.0,0.0,1450.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,6.0,7.0,0.0,1.0,2008.0,1.0,3.0,788.0,4.0,4.0,2.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,2.0,2009.0,6.0,5.0
30.0,5.0,55.0,8250.0,1.0,3.0,3.0,0.0,4.0,0.0,7.0,2.0,2.0,0.0,2.0,5.0,7.0,1935.0,1950.0,1.0,1.0,14.0,15.0,0.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1032.0,0.0,0.0,1032.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,6.0,7.0,1.0,5.0,1939.0,2.0,1.0,260.0,4.0,4.0,2.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,6.0,2006.0,9.0,4.0
